filename,notes,authors,licenses,urls
body/bodies/male/light.png,"see details at https://opengameart.org/content/lpc-character-bases; 'Thick' Male Revised Run/Climb by JaidynReiman (based on ElizaWy's LPC Revised)","bluecarrot16,JaidynReiman,Benjamin K. Smith (BenCreating),Evert,Eliza Wyatt (ElizaWy),TheraHedwig,MuffinElZangano,Durrani,Johannes Sjölund (wulax),Stephen Challener (Redshrike)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-male-jumping-animation-by-durrani,https://opengameart.org/content/lpc-runcycle-and-diagonal-walkcycle,https://opengameart.org/content/lpc-revised-character-basics,https://opengameart.org/content/lpc-be-seated,https://opengameart.org/content/lpc-runcycle-for-male-muscular-and-pregnant-character-bases-with-modular-heads,https://opengameart.org/content/lpc-jump-expanded,https://opengameart.org/content/lpc-character-bases"
head/heads/human/male_elderly/light.png,"","Benjamin K. Smith (BenCreating),Eliza Wyatt (ElizaWy),Stephen Challener (Redshrike)","OGA-BY 3.0,CC-BY 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-revised-elders,https://opengameart.org/content/lpc-character-bases"
beards/beard/basic/chestnut.png,"Original by Nemisys, repositioning by JaidynReiman.","JaidynReiman,Carlo Enrico Victoria (Nemisys)","CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-white-beard"
hair/page2/adult/chestnut.png,"Original by Johannes Sjölund (wulax). Edited, animated, and recolored by ElizaWy.","ElizaWy,Johannes Sjölund (wulax)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://github.com/ElizaWy/LPC/tree/main/Characters/Hair,https://opengameart.org/content/lpc-expanded-sit-run-jump-more"
facial/glasses/halfmoon/adult/bluegray.png,"","ElizaWy","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Head%20Accessories,https://opengameart.org/content/lpc-expanded-sit-run-jump-more"
torso/clothes/longsleeve/longsleeve/male/white.png,"original by wulax, recolors and cleanup by JaidynReiman, further recolors by bluecarrot16","JaidynReiman,Johannes Sjölund (wulax)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,http://opengameart.org/content/lpc-clothing-updates"
torso/jacket/collared/male/bluegray.png,"","bluecarrot16","CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-gentleman,https://opengameart.org/content/lpc-pirates"
torso/jacket/trim/jacket_pockets/bluegray.png,"","bluecarrot16","OGA-BY 3.0","https://opengameart.org/content/lpc-pirates"
legs/cuffed/male/gray.png,"Original bases by Redshrike, thrust/shoot bases by Wulax, original overalls by ElizaWy, base animations adapted from v3 overalls by bluecarrot16, pants by JaidynReiman","JaidynReiman,ElizaWy,Bluecarrot16,Johannes Sjölund (wulax),Stephen Challener (Redshrike)","OGA-BY 3.0,GPL 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing,https://opengameart.org/content/lpc-expanded-sit-run-jump-more,https://opengameart.org/content/lpc-expanded-pants"
feet/sandals/male/lavender.png,"edited for v3 bases by bluecarrot16, Jump/Sit/Emote/Run/Revised Combat by JaidynReiman","Nila122,JaidynReiman,Matthew Krohn (makrohn),Johannes Sjölund (wulax)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 2.0,GPL 3.0","https://opengameart.org/content/lpc-roman-armor,http://opengameart.org/content/lpc-clothing-updates,https://opengameart.org/content/lpc-expanded-socks-shoes"
